student_id,department,category,faculty_name,subject,rating,comment,sentiment,clean_comment,sentiment_label
STU0001,Computer Science,Faculty Performance,Dr. Sopan Khurana,Software Engineering,1,Poor course structure,unhappy,poor course structure,0
STU0001,Computer Science,College Infrastructure,,,5,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0001,Computer Science,Library Facilities,,,3,Average experience,neutral,average experience,1
STU0001,Computer Science,Lab Infrastructure,,,1,Needs improvement,unhappy,needs improvement,0
STU0001,Computer Science,Placements,,,4,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0001,Computer Science,Internships,,,1,Poor course structure,unhappy,poor course structure,0
STU0001,Computer Science,Extracurricular Activities,,,2,Poor course structure,unhappy,poor course structure,0
STU0001,Computer Science,Industry Connections,,,2,Outdated teaching methods,unhappy,outdated teaching methods,0
STU0001,Computer Science,International Collaborations,,,2,Lack of practical knowledge,unhappy,lack practical knowledge,0
STU0002,Computer Science,Faculty Performance,Dr. Priya Sharma,Artificial Intelligence,3,Average teaching experience,neutral,average teaching experience,1
STU0002,Computer Science,College Infrastructure,,,5,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0002,Computer Science,Library Facilities,,,3,Could improve practical exposure,neutral,could improve practical exposure,1
STU0002,Computer Science,Lab Infrastructure,,,5,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0002,Computer Science,Placements,,,5,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0002,Computer Science,Internships,,,5,Exceptional teaching and guidance,happy,exceptional teaching guidance,2
STU0002,Computer Science,Extracurricular Activities,,,1,Poor course structure,neutral,poor course structure,1
STU0002,Computer Science,Industry Connections,,,1,Needs improvement,unhappy,needs improvement,0
STU0002,Computer Science,International Collaborations,,,5,Exceptional teaching and guidance,unhappy,exceptional teaching guidance,0
STU0003,Electrical,Faculty Performance,Dr. Priya Sharma,Artificial Intelligence,4,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0003,Electrical,College Infrastructure,,,1,Lack of practical knowledge,unhappy,lack practical knowledge,0
STU0003,Electrical,Library Facilities,,,3,Moderate course content,unhappy,moderate course content,0
STU0003,Electrical,Lab Infrastructure,,,3,Could improve practical exposure,neutral,could improve practical exposure,1
STU0003,Electrical,Placements,,,5,Exceptional teaching and guidance,happy,exceptional teaching guidance,2
STU0003,Electrical,Internships,,,1,Poor course structure,unhappy,poor course structure,0
STU0003,Electrical,Extracurricular Activities,,,5,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0003,Electrical,Industry Connections,,,4,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0003,Electrical,International Collaborations,,,4,Exceptional teaching and guidance,happy,exceptional teaching guidance,2
STU0004,Mechanical,Faculty Performance,Dr. Harsh Singh,Computer Networks,4,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0004,Mechanical,College Infrastructure,,,4,Exceptional teaching and guidance,happy,exceptional teaching guidance,2
STU0004,Mechanical,Library Facilities,,,5,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0004,Mechanical,Lab Infrastructure,,,2,Outdated teaching methods,neutral,outdated teaching methods,1
STU0004,Mechanical,Placements,,,1,Poor course structure,unhappy,poor course structure,0
STU0004,Mechanical,Internships,,,2,Average experience,happy,average experience,2
STU0004,Mechanical,Extracurricular Activities,,,4,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0004,Mechanical,Industry Connections,,,1,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0004,Mechanical,International Collaborations,,,1,Moderate course content,neutral,moderate course content,1
STU0005,Electronics,Faculty Performance,Dr. Girish Talmale,Machine Learning,1,Poor course structure,unhappy,poor course structure,0
STU0005,Electronics,College Infrastructure,,,4,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0005,Electronics,Library Facilities,,,3,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0005,Electronics,Lab Infrastructure,,,1,Lack of practical knowledge,unhappy,lack practical knowledge,0
STU0005,Electronics,Placements,,,3,Outstanding course content and delivery,happy,outstanding course content delivery,2
STU0005,Electronics,Internships,,,4,Exceptional teaching and guidance,happy,exceptional teaching guidance,2
STU0005,Electronics,Extracurricular Activities,,,5,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0005,Electronics,Industry Connections,,,3,Average teaching experience,neutral,average teaching experience,1
STU0005,Electronics,International Collaborations,,,2,Average teaching experience,neutral,average teaching experience,1
STU0006,Information Technology,Faculty Performance,Dr. Girish Talmale,Artificial Intelligence,5,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0006,Information Technology,College Infrastructure,,,1,Lack of practical knowledge,unhappy,lack practical knowledge,0
STU0006,Information Technology,Library Facilities,,,5,Highly knowledgeable and supportive faculty,happy,highly knowledgeable supportive faculty,2
STU0006,Information Technology,Lab Infrastructure,,,5,Exceptional teaching and guidance,happy,exceptional teaching guidance,2
STU0006,Information Technology,Placements,,,3,Moderate course content,neutral,moderate course content,1
STU0006,Information Technology,Internships,,,2,Poor course structure,unhappy,poor course structure,0
STU0006,Information Technology,Extracurricular Activities,,,1,Poor course structure,happy,poor course structure,2
STU0006,Information Technology,Industry Connections,,,1,Lack of practical knowledge,unhappy,lack practical knowledge,0
STU0006,Information Technology,International Collaborations,,,2,Lack of practical knowledge,unhappy,lack practical knowledge,0
STU0007,Electrical,Faculty Performance,Dr. Meera Krishnan,Machine Learning,1,Outdated teaching methods,unhappy,outdated teaching methods,0
STU0007,Electrical,College Infrastructure,,,3,Average teaching experience,neutral,average teaching experience,1
STU0007,Electrical,Library Facilities,,,2,Outdated teaching methods,unhappy,outdated teaching methods,0
STU0007,Electrical,Lab Infrastructure,,,3,Moderate course content,neutral,moderate course content,1
