student_id,department,category,faculty_name,subject,rating,comment,sentiment
STU0001,Computer Science,Faculty Performance,Dr. Sopan Khurana,Software Engineering,1,Poor course structure,unhappy
STU0001,Computer Science,College Infrastructure,,,5,Outstanding course content and delivery,happy
STU0001,Computer Science,Library Facilities,,,3,Average experience,neutral
STU0001,Computer Science,Lab Infrastructure,,,1,Needs improvement,unhappy
STU0001,Computer Science,Placements,,,4,Outstanding course content and delivery,happy
STU0001,Computer Science,Internships,,,1,Poor course structure,unhappy
STU0001,Computer Science,Extracurricular Activities,,,2,Poor course structure,unhappy
STU0001,Computer Science,Industry Connections,,,2,Outdated teaching methods,unhappy
STU0001,Computer Science,International Collaborations,,,2,Lack of practical knowledge,unhappy
STU0002,Computer Science,Faculty Performance,Dr. Priya Sharma,Artificial Intelligence,3,Average teaching experience,neutral
STU0002,Computer Science,College Infrastructure,,,5,Outstanding course content and delivery,happy
STU0002,Computer Science,Library Facilities,,,3,Could improve practical exposure,neutral
STU0002,Computer Science,Lab Infrastructure,,,5,Outstanding course content and delivery,happy
STU0002,Computer Science,Placements,,,5,Highly knowledgeable and supportive faculty,happy
STU0002,Computer Science,Internships,,,5,Exceptional teaching and guidance,happy
STU0002,Computer Science,Extracurricular Activities,,,1,Poor course structure,neutral
STU0002,Computer Science,Industry Connections,,,1,Needs improvement,unhappy
STU0002,Computer Science,International Collaborations,,,5,Exceptional teaching and guidance,unhappy
STU0003,Electrical,Faculty Performance,Dr. Priya Sharma,Artificial Intelligence,4,Highly knowledgeable and supportive faculty,happy
STU0003,Electrical,College Infrastructure,,,1,Lack of practical knowledge,unhappy
STU0003,Electrical,Library Facilities,,,3,Moderate course content,unhappy
STU0003,Electrical,Lab Infrastructure,,,3,Could improve practical exposure,neutral
STU0003,Electrical,Placements,,,5,Exceptional teaching and guidance,happy
STU0003,Electrical,Internships,,,1,Poor course structure,unhappy
STU0003,Electrical,Extracurricular Activities,,,5,Highly knowledgeable and supportive faculty,happy
STU0003,Electrical,Industry Connections,,,4,Outstanding course content and delivery,happy
STU0003,Electrical,International Collaborations,,,4,Exceptional teaching and guidance,happy
STU0004,Mechanical,Faculty Performance,Dr. Harsh Singh,Computer Networks,4,Outstanding course content and delivery,happy
STU0004,Mechanical,College Infrastructure,,,4,Exceptional teaching and guidance,happy
